top - 03:44:32 up 46 min,  1 user,  load average: 0.70, 0.55, 0.48
Tasks: 207 total,   2 running, 168 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11.4 us,  2.4 sy,  0.3 ni, 85.2 id,  0.5 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  2038576 total,   117220 free,  1421796 used,   499560 buff/cache
KiB Swap:   969960 total,   717768 free,   252192 used.   384036 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1246 taehwan   20   0 3595176 309520  56720 S  12.5 15.2   6:18.25 gnome-shell
 1066 taehwan   20   0  646724 136532  55264 S   6.2  6.7   1:29.88 Xorg
    1 root      20   0  159816   5144   3456 S   0.0  0.3   0:02.95 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0.0  0.0   0:00.12 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0  0.0   0:01.78 rcu_sched
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_injec+
   13 root      20   0       0      0      0 I   0.0  0.0   0:01.32 kworker/0:+
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_injec+
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.10 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   22 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   23 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_+
   24 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   25 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   26 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   27 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   28 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   29 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   30 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   31 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 crypto
   32 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   33 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
   35 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   36 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   37 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   38 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   39 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   40 root      20   0       0      0      0 I   0.0  0.0   0:00.14 kworker/1:+
   44 root      20   0       0      0      0 S   0.0  0.0   0:02.01 kswapd0
   45 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u5+
   46 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
  135 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  136 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_therm+
  137 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  138 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
  139 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  140 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
  143 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrc+
  154 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  173 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_ma+
  210 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  211 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  214 root      20   0       0      0      0 I   0.0  0.0   0:00.21 kworker/1:+
  215 root       0 -20       0      0      0 I   0.0  0.0   0:00.59 kworker/0:+
  235 root       0 -20       0      0      0 I   0.0  0.0   0:00.60 kworker/1:+
