top - 21:21:37 up 27 days,  2:38,  3 users,  load average: 0.01, 0.00, 0.00
Tasks: 147 total,   1 running, 146 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.1 us,  0.0 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  4046484 total,  1314144 free,    90984 used,  2641356 buff/cache
KiB Swap:  4192252 total,  4188192 free,     4060 used.  3619424 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
32044 root      20   0  274816   9476   8252 S   0.0  0.2   0:00.02 cups-browsed
32042 root      20   0   93236   7424   6284 S   0.0  0.2   0:00.01 cupsd
16304 root      20   0   31956   4352   4008 S   0.0  0.1   0:00.00 bluetoothd
 7794 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsSync
 7793 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 7792 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
 7791 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsIO
 7781 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs_mru_cache
 7780 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfsalloc
 5264 root      20   0   33244   6092   5176 S   0.0  0.2   0:00.17 ofonod
 4211 avahi     20   0   44784    340     12 S   0.0  0.0   0:00.00 avahi-daemon
 4210 avahi     20   0   44784   3220   2892 S   0.0  0.1   0:00.80 avahi-daemon
 3682 root      20   0    4396   1360   1272 S   0.0  0.0   0:00.00 acpid
 3560 whoopsie  20   0  362460  10784   9256 S   0.0  0.3   0:00.22 whoopsie
 3313 camper    20   0   41668   3704   3164 R   0.0  0.1   0:00.00 top
 3312 camper    20   0    4504    852    780 S   0.0  0.0   0:00.00 sh
 3299 camper    20   0   16892   2396   2024 S   0.0  0.1   0:00.00 client
 3298 camper    20   0    4356    624    560 S   0.0  0.0   0:00.00 server
 3160 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/u4:1
 2657 root      20   0       0      0      0 S   0.0  0.0   0:00.26 kworker/u4:0
 1960 root      20   0       0      0      0 S   0.0  0.0   0:00.25 kworker/0:1
 1957 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
 1489 camper    20   0   22816   5304   3188 S   0.0  0.1   0:00.12 bash
 1488 camper    20   0   95808   5160   3192 S   0.0  0.1   0:00.80 sshd
 1456 root      20   0   94928   6884   5940 S   0.0  0.2   0:00.02 sshd
 1444 camper    20   0   22900   5700   3500 S   0.0  0.1   0:00.12 bash
 1443 camper    20   0   95560   5176   3460 S   0.0  0.1   0:01.28 sshd
 1409 root      20   0   94928   6960   6020 S   0.0  0.2   0:00.03 sshd
 1163 camper    20   0   12880   1908   1784 S   0.0  0.0   0:00.00 sftp-server
 1162 camper    20   0   94928   3612   2672 S   0.0  0.1   0:00.00 sshd
 1118 camper    20   0   23812   6392   3280 S   0.0  0.2   0:00.57 bash
 1116 camper    20   0   95244   4880   3784 S   0.0  0.1   0:08.28 sshd
 1101 root      20   0   65512   5984   5284 S   0.0  0.1   0:00.32 sshd
 1099 root      20   0   19472    256      0 S   0.0  0.0   1:12.67 irqbalance
 1073 root      20   0   94928   6740   5800 S   0.0  0.2   0:00.02 sshd
 1058 root      20   0   15936   1512   1380 S   0.0  0.0   0:00.00 agetty
 1052 camper    20   0  145280   1972      0 S   0.0  0.0   0:00.00 (sd-pam)
 1049 camper    20   0   45288   4592   3884 S   0.0  0.1   0:00.02 systemd
 1047 root      20   0   94928   6744   5800 S   0.0  0.2   0:00.08 sshd
 1042 root      20   0       0      0      0 S   0.0  0.0   0:00.14 kworker/1:3
 1037 root      20   0       0      0      0 S   0.0  0.0   0:00.44 kworker/0:0
 1001 root      10 -10    5720   3524   2436 S   0.0  0.1   6:25.42 iscsid
 1000 root      20   0    5220    152     36 S   0.0  0.0   1:23.63 iscsid
  983 root      20   0  174596  18504  11044 S   0.0  0.5   0:00.18 unattended-upgr
  973 root      20   0   13372    164     20 S   0.0  0.0   0:00.56 mdadm
  908 root      20   0  279048   8144   5672 S   0.0  0.2   0:00.60 polkitd
  879 root      20   0   29008   2508   2232 S   0.0  0.1   0:07.37 cron
  873 root      20   0   28640   2860   2524 S   0.0  0.1   0:04.38 systemd-logind
  871 syslog    20   0  256392   3096   2564 S   0.0  0.1   0:01.51 rsyslogd
  786 message+  20   0   43300   4268   3308 S   0.0  0.1   0:04.62 dbus-daemon
  784 root      20   0  605244   4408   1372 S   0.0  0.1   0:10.71 lxcfs
  780 root      20   0  275976   5944   5064 S   0.0  0.1   0:48.22 accounts-daemon
  778 daemon    20   0   26044   2020   1824 S   0.0  0.0   0:00.08 atd
  502 systemd+  20   0  100324   2448   2244 S   0.0  0.1   0:05.13 systemd-timesyn
  459 root      20   0   45844   4956   2860 S   0.0  0.1   0:03.68 systemd-udevd
  451 root      20   0  102968   1632   1444 S   0.0  0.0   0:00.00 lvmetad
  443 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rdma_cm
  442 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iw_cm_wq
  438 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ib_cm
  437 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ib_nl_sa_wq
  436 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ib_mcast
  434 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ib_addr
  419 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iscsi_eh
  403 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
  393 root      20   0   32140   3108   2764 S   0.0  0.1   0:03.43 systemd-journal
  327 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  326 root      20   0       0      0      0 S   0.0  0.0   0:13.23 jbd2/vda1-8
  324 root       0 -20       0      0      0 S   0.0  0.0   0:03.36 kworker/1:1H
  323 root       0 -20       0      0      0 S   0.0  0.0   0:03.31 kworker/0:1H
  296 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  265 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 raid5wq
  201 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 qxl_gc
  200 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  151 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  150 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  149 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  148 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  147 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  146 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  145 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  144 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  143 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  104 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_manager
  103 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   90 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
   83 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
   82 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
   81 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
   80 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
   79 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   78 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   77 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   76 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   75 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   74 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   73 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   71 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   70 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   69 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   68 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   66 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   65 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   64 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   63 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   61 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   60 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   58 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   56 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   55 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   54 root      20   0       0      0      0 S   0.0  0.0   6:23.50 vballoon
   53 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_thermal_pm
   52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
   34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   33 root      20   0       0      0      0 S   0.0  0.0   0:01.91 kswapd0
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   23 root      39  19       0      0      0 S   0.0  0.0   0:24.29 khugepaged
   22 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   20 root      20   0       0      0      0 S   0.0  0.0   0:02.61 khungtaskd
   19 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   17 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   13 root      20   0       0      0      0 S   0.0  0.0   0:01.18 ksoftirqd/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:00.61 migration/1
   11 root      rt   0       0      0      0 S   0.0  0.0   0:12.65 watchdog/1
   10 root      rt   0       0      0      0 S   0.0  0.0   0:14.00 watchdog/0
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.60 migration/0
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    7 root      20   0       0      0      0 S   0.0  0.0   0:24.16 rcu_sched
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.82 ksoftirqd/0
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kthreadd
    1 root      20   0  119736   5880   4028 S   0.0  0.1   0:21.58 systemd
